rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
1999-03-11 17:06:00,vnta,6.85,10.727,31.468,6.25,36.754745,-121.971653
1999-03-11 17:06:30,vnta,6.75,10.728,31.516,6.17,,
1999-03-11 17:07:00,vnta,6.55,10.729,31.525,6.44,,
1999-03-11 17:08:15,vnta,14.2,10.674,31.747,5.24,36.754745,-121.971653
1999-03-11 17:08:45,vnta,13.2,10.487,32.095,4.7,36.754745,-121.971653
1999-03-11 17:09:15,vnta,10.62,10.734,31.549,4.37,36.754745,-121.971653
1999-03-11 17:09:45,vnta,11.42,10.737,31.551,4.59,36.754745,-121.971653
1999-03-11 17:12:15,vnta,8.44,10.744,31.499,6.71,36.754745,-121.971653
1999-03-11 17:12:45,vnta,17.17,10.344,32.579,5.9,36.754745,-121.971653
1999-03-11 17:13:15,vnta,25.71,10.242,33.161,5.14,36.754745,-121.971653
1999-03-11 17:13:45,vnta,37.32,10.458,33.513,4.23,36.7338465,-122.0240275
1999-03-11 17:14:15,vnta,50.82,10.24,33.628,3.55,36.7109955,-122.0767145
1999-03-11 17:14:45,vnta,67.89,9.819,33.718,3,36.710999,-122.0769225
1999-03-11 17:15:15,vnta,85.35,9.277,33.837,2.52,36.716047,-122.087002
1999-03-11 17:15:45,vnta,103.02,9.022,33.889,2.52,36.716047,-122.087002
1999-03-11 17:16:15,vnta,117.7,8.856,33.932,2.38,36.716047,-122.087002
1999-03-11 17:16:45,vnta,134.07,8.742,33.974,2.18,36.716047,-122.087002
1999-03-11 17:17:15,vnta,139.72,8.692,33.96,2.19,36.7114775,-122.0699505
1999-03-11 17:17:45,vnta,156.98,8.498,33.987,2.3,36.714009,-122.07841
1999-03-11 17:18:15,vnta,173.65,8.376,33.988,2.24,36.713855,-122.074517
1999-03-11 17:18:45,vnta,186.74,8.29,34.002,2.19,36.713855,-122.074517
1999-03-11 17:19:15,vnta,187.43,8.245,34.011,2.15,36.713855,-122.074517
1999-03-11 17:19:45,vnta,187.33,8.232,34.012,2.14,36.713855,-122.074517
1999-03-11 17:20:15,vnta,198.44,8.151,34.009,2.12,36.712618,-122.072585
1999-03-11 17:20:45,vnta,210.44,8.057,34.02,2.04,36.712618,-122.072585
