rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
2003-03-31 11:32:15,tibr,320.29,9.744,34.405,-0.03,24.23309742,-109.66664014
2003-03-31 11:32:45,tibr,325.74,9.689,34.409,-0.04,24.23313685,-109.66661671
2003-03-31 11:33:15,tibr,332.38,9.634,34.405,-0.05,24.23316114,-109.66662885
2003-03-31 11:33:45,tibr,338.82,9.597,34.416,-0.06,24.233206,-109.666623
2003-03-31 11:34:15,tibr,345.36,9.499,34.405,-0.06,24.23325775,-109.66662175
2003-03-31 11:34:45,tibr,351.91,9.353,34.395,-0.05,24.23333325,-109.66661737
2003-03-31 11:35:15,tibr,357.26,9.274,34.389,-0.05,24.233327,-109.666632
2003-03-31 11:35:45,tibr,361.91,9.224,34.386,-0.05,24.23338087,-109.66661087
2003-03-31 11:36:15,tibr,365.68,9.159,34.387,-0.06,24.23344175,-109.66656962
2003-03-31 11:36:45,tibr,369.74,9.123,34.388,-0.07,24.23349471,-109.66654842
2003-03-31 11:37:15,tibr,375.19,9.057,34.387,-0.07,24.23354185,-109.66656642
2003-03-31 11:37:45,tibr,380.05,9.004,34.386,-0.07,24.23348085,-109.666583
2003-03-31 11:38:15,tibr,385.1,8.805,34.383,-0.08,24.23351028,-109.66659414
2003-03-31 11:38:45,tibr,389.76,8.732,34.379,-0.08,24.23349457,-109.66664057
2003-03-31 11:39:15,tibr,394.91,8.683,34.374,-0.08,24.233574,-109.66667314
2003-03-31 11:39:45,tibr,398.87,8.651,34.37,-0.08,24.23351714,-109.666752
2003-03-31 11:40:15,tibr,400.46,8.625,34.371,-0.08,24.23357714,-109.666751
2003-03-31 11:40:45,tibr,404.03,8.575,34.371,-0.09,24.23357675,-109.666762
2003-03-31 11:41:15,tibr,409.08,8.501,34.37,-0.09,24.23351175,-109.66675075
2003-03-31 11:41:45,tibr,410.96,8.468,34.365,-0.09,24.233545,-109.66669312
2003-03-31 11:42:15,tibr,410.37,8.473,34.364,-0.09,24.2335845,-109.6666585
2003-03-31 11:42:45,tibr,411.06,8.472,34.362,-0.09,24.23348675,-109.66664137
2003-03-31 11:43:15,tibr,417,8.293,34.36,-0.09,24.23347528,-109.66659728
2003-03-31 11:43:45,tibr,423.15,8.146,34.353,-0.09,24.23345042,-109.66655271
2003-03-31 11:44:15,tibr,428.2,8.058,34.349,-0.09,24.23347914,-109.66655942
2003-03-31 11:44:45,tibr,433.75,7.953,34.343,-0.09,24.23342057,-109.66660628
2003-03-31 11:45:15,tibr,439.59,7.943,34.342,-0.09,24.233454,-109.666673
2003-03-31 11:45:45,tibr,445.83,7.869,34.339,-0.09,24.23333928,-109.66672971
2003-03-31 11:46:15,tibr,452.17,7.822,34.339,-0.09,24.233318,-109.66679357
2003-03-31 11:46:45,tibr,458.01,7.773,34.338,-0.09,24.233219,-109.66682187
2003-03-31 11:47:15,tibr,463.66,7.741,34.348,-0.1,24.23317775,-109.66679212
2003-03-31 11:47:45,tibr,470.39,7.735,34.351,-0.1,24.233192,-109.666773
2003-03-31 11:48:15,tibr,475.45,7.69,34.355,-0.1,24.23318728,-109.66664671
2003-03-31 11:48:45,tibr,480.4,7.672,34.355,-0.1,24.23314914,-109.66655771
2003-03-31 11:49:15,tibr,485.55,7.604,34.355,-0.1,24.23318,-109.66651328
2003-03-31 11:49:45,tibr,490,7.54,34.357,-0.1,24.23330275,-109.66647675
2003-03-31 11:50:15,tibr,495.25,7.489,34.358,-0.1,24.23332587,-109.66647712
2003-03-31 11:50:45,tibr,500.5,7.429,34.354,-0.1,24.23329275,-109.66647225
2003-03-31 11:51:15,tibr,505.85,7.365,34.353,-0.1,24.2333825,-109.66644062
2003-03-31 11:51:45,tibr,509.71,7.348,34.351,-0.1,24.233434,-109.666429
2003-03-31 11:52:15,tibr,514.36,7.331,34.351,-0.1,24.23348362,-109.66645312
2003-03-31 11:52:45,tibr,518.33,7.316,34.351,-0.1,24.23350014,-109.66647671
2003-03-31 11:53:15,tibr,522.29,7.222,34.355,-0.11,24.233517,-109.66642928
2003-03-31 11:53:45,tibr,527.34,7.144,34.349,-0.11,24.23352614,-109.66639157
2003-03-31 11:54:15,tibr,532.58,7.108,34.351,-0.11,24.23350485,-109.66633842
2003-03-31 11:54:45,tibr,537.34,7.066,34.35,-0.11,24.23351957,-109.66628742
2003-03-31 11:55:15,tibr,541.49,7.038,34.348,-0.11,24.23344357,-109.66628942
2003-03-31 11:55:45,tibr,545.26,7.002,34.347,-0.11,24.233364,-109.666338
2003-03-31 11:56:15,tibr,550.11,6.993,34.349,-0.11,24.233339,-109.66639837
2003-03-31 11:56:45,tibr,554.96,6.976,34.347,-0.11,24.2332755,-109.666452
2003-03-31 11:57:15,tibr,560.7,6.946,34.347,-0.11,24.23329375,-109.66647537
2003-03-31 11:57:45,tibr,561.89,6.921,34.344,-0.11,24.23331612,-109.66649975
2003-03-31 11:58:15,tibr,563.67,6.903,34.346,-0.11,24.23331225,-109.66651637
