rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
2003-03-13 13:59:15,tibr,11.12,21.872,34.618,4.78,24.22376,-109.61233
2003-03-13 13:59:45,tibr,17.97,21.845,34.662,4.85,24.31674475,-109.200039
2003-03-13 14:00:15,tibr,20.94,21.854,34.676,4.87,24.316706,-109.200054
2003-03-13 14:00:45,tibr,22.14,21.836,34.677,4.89,24.31677675,-109.20004762
2003-03-13 14:01:15,tibr,25.01,21.82,34.679,4.88,24.31672914,-109.20007714
2003-03-13 14:01:45,tibr,27.6,21.819,34.686,4.88,24.31673857,-109.20008685
2003-03-13 14:02:15,tibr,29.88,21.708,34.713,4.81,24.31676457,-109.200038
2003-03-13 14:02:45,tibr,30.97,21.608,34.706,4.77,24.31676,-109.19999057
2003-03-13 14:03:15,tibr,33.45,21.285,34.667,4.44,24.31675885,-109.20000885
2003-03-13 14:03:45,tibr,33.55,21.156,34.668,4.28,24.31676042,-109.20002728
2003-03-13 14:04:15,tibr,35.14,20.991,34.63,4.29,24.31674042,-109.200038
2003-03-13 14:04:45,tibr,36.33,20.823,34.601,4.07,24.31677775,-109.20005375
2003-03-13 14:05:15,tibr,39.8,20.65,34.707,4,24.316796,-109.20004325
2003-03-13 14:05:45,tibr,39.51,20.824,34.773,4.06,24.316764,-109.20001675
2003-03-13 14:06:15,tibr,43.77,20.414,34.722,3.93,24.31673562,-109.20004225
2003-03-13 14:06:45,tibr,47.15,20.146,34.621,3.85,24.31675325,-109.20006925
2003-03-13 14:07:15,tibr,49.83,19.941,34.608,3.75,24.31671775,-109.2000465
2003-03-13 14:07:45,tibr,54.09,19.627,34.569,3.61,24.31670628,-109.20004328
2003-03-13 14:08:15,tibr,58.06,19.994,34.825,3.61,24.31672028,-109.20007714
2003-03-13 14:08:45,tibr,58.16,20.086,34.881,3.66,24.31672728,-109.20010285
2003-03-13 14:09:15,tibr,57.97,20.121,34.871,3.68,24.31666971,-109.20005485
2003-03-13 14:09:45,tibr,58.46,20.12,34.872,3.68,24.31669985,-109.20005157
2003-03-13 14:10:15,tibr,58.36,20.107,34.869,3.68,24.31671657,-109.20008514
2003-03-13 14:10:45,tibr,59.65,20.125,34.935,3.7,24.316732,-109.20011357
2003-03-13 14:11:15,tibr,57.77,20.133,34.93,3.72,24.31673587,-109.2001415
2003-03-13 14:11:45,tibr,59.16,20.126,34.938,3.71,24.31674525,-109.20016775
2003-03-13 14:12:15,tibr,68.09,19.717,34.97,3.57,24.31677037,-109.20018612
2003-03-13 14:12:45,tibr,80.49,19.012,35.005,3.33,24.3167865,-109.20022175
2003-03-13 14:13:15,tibr,94.68,17.157,34.834,2.16,24.31679487,-109.20022287
2003-03-13 14:13:45,tibr,100.93,16.572,34.78,1.7,24.31678025,-109.2002125
2003-03-13 14:14:15,tibr,100.24,16.459,34.744,1.54,24.31676857,-109.20021942
2003-03-13 14:14:45,tibr,100.63,16.452,34.734,1.5,24.31677642,-109.20022542
2003-03-13 14:15:15,tibr,100.54,16.457,34.722,1.49,24.31679642,-109.20026342
2003-03-13 14:15:45,tibr,100.34,16.433,34.737,1.49,24.316794,-109.200295
2003-03-13 14:16:15,tibr,100.24,16.447,34.726,1.49,,
2003-03-13 14:16:45,tibr,99.94,16.5,34.726,1.51,,
2003-03-13 14:17:15,tibr,99.64,16.465,34.725,1.5,,
