rovCtdDtg,vehicle,depth,temper,salin,oxyg,lat,lon
2000-06-16 16:11:15,vnta,2.88,11.792,33.804,6.11,36.71242075,-122.05363375
2000-06-16 16:11:45,vnta,7.15,11.514,33.892,6.15,36.70980712,-122.05089387
2000-06-16 16:12:15,vnta,8.74,11.318,33.897,6.18,36.70981162,-122.05068287
2000-06-16 16:12:45,vnta,18.66,10.23,33.952,4.99,36.70989362,-122.050236
2000-06-16 16:13:15,vnta,31.07,9.47,33.955,4.04,36.710025,-122.04966957
2000-06-16 16:13:45,vnta,43.87,9.113,33.984,3.44,36.71097014,-122.05090657
2000-06-16 16:14:15,vnta,56.87,9.042,34.022,3.05,36.71046857,-122.05032685
2000-06-16 16:14:45,vnta,69.58,8.984,34.037,2.83,36.71043275,-122.05044525
2000-06-16 16:15:15,vnta,79.9,8.751,34.063,2.6,36.710345,-122.050602
2000-06-16 16:15:45,vnta,91.9,8.646,34.084,2.44,36.71107512,-122.04947025
2000-06-16 16:16:15,vnta,104.8,8.655,34.123,2.35,36.71112342,-122.04984528
2000-06-16 16:16:45,vnta,116.41,8.586,34.135,2.3,36.71107171,-122.05008614
2000-06-16 16:17:15,vnta,127.22,8.452,34.139,2.18,36.71076885,-122.05042842
2000-06-16 16:17:45,vnta,136.05,8.431,34.142,2.12,36.71041771,-122.05119585
2000-06-16 16:18:15,vnta,145.87,8.395,34.144,2.08,36.710365,-122.05096225
2000-06-16 16:18:45,vnta,155.79,8.33,34.151,1.98,36.71028075,-122.05108975
2000-06-16 16:19:15,vnta,163.73,8.266,34.161,1.89,36.7103995,-122.05122875
2000-06-16 16:19:45,vnta,168.39,8.181,34.18,1.79,36.7098985,-122.0515385
2000-06-16 16:20:15,vnta,171.66,8.162,34.177,1.73,36.709935,-122.05162525
2000-06-16 16:20:45,vnta,177.32,8.106,34.18,1.71,36.709236,-122.052027
2000-06-16 16:21:15,vnta,184.26,8.061,34.192,1.63,36.710372,-122.051435
2000-06-16 16:21:45,vnta,190.41,8.065,34.196,1.59,36.70995,-122.051615
2000-06-16 16:22:15,vnta,198.24,8.079,34.207,1.5,36.71095671,-122.05140614
2000-06-16 16:22:45,vnta,207.07,8.068,34.218,1.39,36.71084985,-122.05138842
2000-06-16 16:23:15,vnta,213.32,8.02,34.23,1.29,36.710863,-122.051375
2000-06-16 16:23:45,vnta,225.32,7.991,34.233,1.24,36.71110862,-122.05034937
2000-06-16 16:24:15,vnta,235.23,7.962,34.234,1.22,36.71072275,-122.05030875
2000-06-16 16:24:45,vnta,243.36,7.955,34.236,1.21,36.710347,-122.05005
2000-06-16 16:25:15,vnta,247.23,7.954,34.237,1.19,36.710347,-122.05005
2000-06-16 16:25:45,vnta,253.87,7.946,34.239,1.18,36.71065685,-122.04978442
2000-06-16 16:26:15,vnta,263.29,7.935,34.241,1.16,36.710622,-122.050073
2000-06-16 16:26:45,vnta,276.38,7.85,34.246,1.15,36.71079942,-122.05014414
2000-06-16 16:27:15,vnta,289.56,7.795,34.248,1.12,36.710775,-122.050037
2000-06-16 16:27:45,vnta,302.65,7.765,34.253,1.09,36.710775,-122.050037
2000-06-16 16:28:15,vnta,315.73,7.735,34.252,1.08,36.710775,-122.050037
2000-06-16 16:28:45,vnta,329.01,7.664,34.251,1.08,36.710775,-122.050037
2000-06-16 16:29:15,vnta,341.3,7.532,34.254,1.02,36.71070875,-122.04912125
2000-06-16 16:29:45,vnta,348.93,7.487,34.256,0.99,36.710991,-122.05024125
2000-06-16 16:30:15,vnta,351.91,7.453,34.257,0.99,36.711075,-122.05056
2000-06-16 16:30:45,vnta,363.2,7.437,34.258,0.98,36.71113457,-122.05042128
2000-06-16 16:31:15,vnta,375.79,7.44,34.258,0.96,36.71111685,-122.050766
2000-06-16 16:31:45,vnta,387.38,7.397,34.261,0.96,36.711042,-122.050702
2000-06-16 16:32:15,vnta,399.76,7.301,34.275,0.86,36.711042,-122.050702
2000-06-16 16:32:45,vnta,411.95,7.008,34.261,0.86,36.71116262,-122.050503
2000-06-16 16:33:15,vnta,420.27,6.915,34.27,0.81,36.711157,-122.05041
2000-06-16 16:33:45,vnta,428.99,6.799,34.271,0.76,36.711157,-122.05041
2000-06-16 16:34:15,vnta,439.59,6.736,34.277,0.73,36.711157,-122.05041
2000-06-16 16:34:45,vnta,450.29,6.607,34.283,0.67,36.711157,-122.05041
2000-06-16 16:35:15,vnta,461.28,6.569,34.286,0.65,36.711157,-122.05041
2000-06-16 16:35:45,vnta,470.69,6.527,34.284,0.63,36.71095,-122.049977
2000-06-16 16:36:15,vnta,479.01,6.485,34.286,0.62,36.71095,-122.049977
2000-06-16 16:36:45,vnta,485.94,6.451,34.288,0.6,36.710398,-122.048073
